repoid	name	baseurl	repomd	mirror_path
ol10_baseos_latest	Oracle Linux 10 BaseOS Latest ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/baseos/latest/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/baseos/latest/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/baseos/latest/x86_64
ol10_appstream	Oracle Linux 10 Application Stream Packages ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/appstream/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/appstream/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/appstream/x86_64
ol10_u0_baseos_base	Oracle Linux 10 BaseOS GA ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/0/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/0/baseos/base/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/0/baseos/base/x86_64
ol10_u1_baseos_base	Oracle Linux 10.1 BaseOS GA ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/1/baseos/base/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/1/baseos/base/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/1/baseos/base/x86_64
ol10_addons	Oracle Linux 10 Addons ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/addons/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/addons/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/addons/x86_64
ol10_codeready_builder	Oracle Linux 10 CodeReady Builder ($basearch) - (Unsupported)	https://yum.oracle.com/repo/OracleLinux/OL10/codeready/builder/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/codeready/builder/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/codeready/builder/x86_64
ol10_distro_builder	Oracle Linux 10 Distro Builder ($basearch) - (Unsupported)	https://yum.oracle.com/repo/OracleLinux/OL10/distro/builder/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/distro/builder/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/distro/builder/x86_64
ol10_UEKR8	Oracle Linux 10 UEK Release 8 ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/UEKR8/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/UEKR8/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/UEKR8/x86_64
ol10_RDMA	Oracle Linux 10 ($basearch) RDMA	https://yum.oracle.com/repo/OracleLinux/OL10/RDMA/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/RDMA/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/RDMA/x86_64
ol10_kvm_utils	Oracle Linux 10 KVM Utilities ($basearch)	https://yum.oracle.com/repo/OracleLinux/OL10/kvm/utils/x86_64/	https://yum.oracle.com/repo/OracleLinux/OL10/kvm/utils/x86_64/repodata/repomd.xml	/repo/OracleLinux/OL10/kvm/utils/x86_64
